
2024/12/15 (18:17:27) | ===> btop++ v.1.4.0
2024/12/15 (18:17:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (18:17:33) | ===> btop++ v.1.4.0
2024/12/15 (18:17:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (18:17:35) | ===> btop++ v.1.4.0
2024/12/15 (18:17:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (21:00:57) | ===> btop++ v.1.4.0
2024/12/15 (21:00:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (22:28:00) | ===> btop++ v.1.4.0
2024/12/15 (22:28:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (10:29:52) | ===> btop++ v.1.4.0
2024/12/16 (10:29:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (19:35:28) | ===> btop++ v.1.4.0
2024/12/16 (19:35:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (22:56:59) | ===> btop++ v.1.4.0
2024/12/16 (22:56:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (14:26:32) | ===> btop++ v.1.4.0
2024/12/17 (14:26:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (18:59:24) | ===> btop++ v.1.4.0
2024/12/17 (18:59:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (22:47:15) | ===> btop++ v.1.4.0
2024/12/17 (22:47:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (16:42:54) | ===> btop++ v.1.4.0
2024/12/18 (16:42:54) | WARNING: Intel GPU: Failed to initialize PMU
